date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
12/4/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.4,6.5,6.4,50,2.492,383687
,,,,,,,,,,
12/3/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.4,6.4,6.4,28,0.262,40866
,,,,,,,,,,
11/30/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.5,6.4,6.4,25,0.434,67317
,,,,,,,,,,
11/29/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.4,6.4,6.4,46,2.139,332400
,,,,,,,,,,
11/28/2017 0:00,1JANATAMF,6.4,6.5,6.3,6.5,6.4,6.5,78,3.698,576406
,,,,,,,,,,
11/27/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.5,6.5,6.4,59,2.596,400050
,,,,,,,,,,
11/26/2017 0:00,1JANATAMF,6.4,6.5,6.4,6.4,6.4,6.4,26,0.326,50974
,,,,,,,,,,
11/23/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.4,6.4,6.4,42,0.401,62486
,,,,,,,,,,
11/22/2017 0:00,1JANATAMF,6.4,6.5,6.3,6.4,6.4,6.4,71,3.419,534085
,,,,,,,,,,
11/21/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.5,6.4,6.4,69,1.268,196751
,,,,,,,,,,
11/20/2017 0:00,1JANATAMF,6.4,6.5,6.4,6.5,6.4,6.5,75,1.308,203081
,,,,,,,,,,
11/19/2017 0:00,1JANATAMF,6.5,6.5,6.4,6.5,6.5,6.5,54,1.602,247593
,,,,,,,,,,
11/16/2017 0:00,1JANATAMF,6.4,6.6,6.4,6.6,6.5,6.5,66,2.631,404549
,,,,,,,,,,
11/15/2017 0:00,1JANATAMF,6.5,6.6,6.4,6.5,6.5,6.5,79,1.476,227070
,,,,,,,,,,
11/14/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.5,6.5,6.5,43,0.587,90210
,,,,,,,,,,
11/13/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.6,6.5,6.6,50,0.89,136713
,,,,,,,,,,
11/12/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.6,6.6,6.6,41,1.356,205547
,,,,,,,,,,
11/9/2017 0:00,1JANATAMF,6.6,6.7,6.5,6.6,6.6,6.6,45,1.539,234307
,,,,,,,,,,
11/8/2017 0:00,1JANATAMF,6.6,6.6,6.5,6.5,6.6,6.5,53,1.378,210861
,,,,,,,,,,
